user_id,num_recipes,avg_rating
1533,13,4.923076923076923
1535,65,4.676923076923077
1634,3,4.0
1676,2,4.5
1755,1,4.0
1792,1,5.0
1891,5,4.8
1962,2,4.0
2095,1,5.0
2148,1,5.0
2178,4,4.25
2211,1,5.0
2310,28,4.678571428571429
2312,19,4.631578947368421
2525,1,0.0
2586,4,4.5
2625,1,0.0
2695,4,3.5
2962,1,4.0
2985,1,4.0
2998,1,5.0
3205,4,4.5
3288,20,4.5
3385,1,1.0
3625,1,2.0
3674,1,5.0
3678,1,4.0
3793,1,4.0
3794,1,4.0
3824,1,5.0
3861,1,4.0
4005,1,5.0
4026,1,5.0
4039,1,5.0
4043,1,5.0
4149,1,5.0
4151,1,4.0
4169,1,4.0
4276,1,0.0
4291,22,4.590909090909091
4353,1,3.0
4408,1,5.0
4439,68,4.720588235294118
4453,1,5.0
4470,224,4.78125
4500,7,4.857142857142857
4601,3,4.0
4657,2,5.0
4667,1,4.0
4722,1,5.0
4740,21,4.142857142857143
4753,2,5.0
4796,1,5.0
4862,6,3.3333333333333335
4932,1,5.0
5049,1,3.0
5060,157,4.713375796178344
5061,1,4.0
5135,1,5.0
5186,2,4.5
5199,1,1.0
5233,1,4.0
5307,2,5.0
5362,1,5.0
5398,1,5.0
5523,3,4.0
5672,2,5.0
5684,1,5.0
5695,1,5.0
5714,1,5.0
5724,1,5.0
5743,2,4.0
5802,1,5.0
5842,1,3.0
5888,1,5.0
5898,1,0.0
5903,1,5.0
5929,2,2.5
5946,4,4.75
5951,1,5.0
5974,1,5.0
5999,1,5.0
6014,1,3.0
6101,1,4.0
6111,1,2.0
6127,1,4.0
6143,1,5.0
6164,4,2.5
6181,1,5.0
6220,1,4.0
6258,63,4.73015873015873
6303,1,1.0
6338,2,4.5
6357,129,4.325581395348837
6359,1,5.0
6381,1,4.0
6406,1,5.0
6418,1,5.0
6512,15,4.866666666666666
6550,5,5.0
6584,1,4.0
6651,31,4.870967741935484
6688,1,3.0
6702,5,4.2
6810,1,5.0
6826,1,5.0
6836,8,4.5
6897,3,4.0
6908,1,4.0
6923,1,3.0
6976,1,4.0
7008,1,1.0
7093,3,5.0
7108,33,4.818181818181818
7119,3,2.6666666666666665
7240,1,1.0
7261,1,5.0
7308,3,1.3333333333333333
7396,1,4.0
7422,2,3.5
7456,3,3.3333333333333335
7503,1,5.0
7507,1,5.0
7673,1,5.0
7676,3,4.666666666666667
7798,2,4.0
7802,12,4.75
7934,1,4.0
7978,1,5.0
8000,2,4.5
8005,2,4.5
8086,1,5.0
8229,1,4.0
8239,3,5.0
8342,2,5.0
8377,21,4.238095238095238
8396,5,4.0
8526,7,4.714285714285714
8527,2,3.5
8602,1,5.0
8606,8,5.0
8619,1,4.0
8627,1,5.0
8629,76,4.276315789473684
8639,1,5.0
8679,1,0.0
