interaction_id,user_id,exercise_id,rating,completed,sets,reps,weight,duration_minutes,timestamp
0,user_102,860,3.2718715802406493,1,3,10,9.997491581800288,8,2025-09-03 20:00:57.541896
1,user_871,130,3.692285115200832,0,3,11,93.85527090157501,2,2025-06-03 20:00:57.542975
2,user_955,2324,4.731189060173008,0,2,8,52.477466025838915,3,2024-12-13 20:00:57.543520
3,user_566,1267,3.769357483807299,1,4,12,60.75448519014384,5,2025-01-17 20:00:57.544549
4,user_166,1297,2.6998730749470443,0,4,11,12.203823484477883,8,2025-11-07 20:00:57.544549
5,user_205,1955,3.4737199105233194,1,3,13,52.00680211778108,4,2025-02-05 20:00:57.545521
6,user_476,702,2.9118571690371207,1,3,14,92.18742350231169,8,2025-05-11 20:00:57.546113
7,user_251,1016,4.600446385974764,1,2,12,27.134903177389592,5,2025-03-07 20:00:57.546113
8,user_921,2264,4.1718091447842305,1,4,12,7.455064367977082,7,2025-12-03 20:00:57.546113
9,user_343,1152,3.118479922318633,1,4,10,19.884240408880515,8,2025-07-02 20:00:57.547752
10,user_418,2336,4.349220129605481,1,4,8,62.329812682755794,2,2025-11-09 20:00:57.548761
11,user_47,502,3.0868010318324024,1,2,10,59.12977877077271,6,2025-11-07 20:00:57.550455
12,user_960,2660,2.533118579543975,1,4,8,71.06628896857873,3,2025-10-10 20:00:57.551451
13,user_863,2790,3.392104093826969,1,2,11,90.7566473926093,7,2025-04-25 20:00:57.552450
14,user_748,1678,2.60537083565104,0,4,10,16.122128725400444,2,2025-06-25 20:00:57.553466
15,user_556,1597,3.371855641885613,1,3,11,80.36720768991145,4,2025-03-01 20:00:57.554454
16,user_957,1354,2.6129785346267482,1,3,8,27.213224938463533,9,2025-08-18 20:00:57.556436
17,user_972,1768,2.820110927354006,1,3,10,41.7411003148779,5,2025-05-01 20:00:57.557444
18,user_818,1257,4.2264681632667545,1,2,11,36.3629602379294,1,2025-10-21 20:00:57.558534
19,user_267,1636,2.9169695458244673,1,2,10,60.956433397989684,2,2025-05-06 20:00:57.560044
20,user_565,854,3.2388770497167636,1,3,12,48.9452760277563,6,2025-04-09 20:00:57.561044
21,user_835,202,2.8704856776305547,1,2,14,80.31397563798959,5,2025-09-05 20:00:57.562047
22,user_197,1930,3.2562118661858017,1,4,13,69.58128067908818,3,2025-07-17 20:00:57.564046
23,user_763,1955,4.271744345621218,0,4,14,22.649577519793795,7,2025-02-07 20:00:57.565354
24,user_488,1959,4.3102741079808675,1,2,8,20.907162073771367,3,2025-03-24 20:00:57.565886
25,user_763,2191,3.9195313115684685,1,2,11,52.965057835600646,2,2025-02-11 20:00:57.566914
26,user_253,452,4.129941397124211,1,4,10,72.59556788702393,3,2025-07-13 20:00:57.566914
27,user_53,1696,3.390911435888655,1,4,8,16.162871409461378,6,2025-08-30 20:00:57.567910
28,user_851,253,3.0874165059957357,1,2,8,17.592525267734537,4,2025-02-26 20:00:57.568909
29,user_397,1300,2.3915725538203807,1,4,10,65.76128923003434,1,2025-06-19 20:00:57.568909
30,user_459,954,3.315064471641852,1,3,13,39.30977246667604,6,2025-03-23 20:00:57.570000
31,user_282,2074,2.614109625253371,1,3,8,57.69038846263591,1,2025-01-29 20:00:57.570000
32,user_815,658,4.7399243875992765,0,3,12,27.95603417967586,6,2025-09-04 20:00:57.570992
33,user_891,1768,4.198387140635565,1,2,8,55.27649668354899,3,2025-06-07 20:00:57.570992
34,user_115,190,2.525240477410571,1,4,9,55.68012624583501,6,2025-10-15 20:00:57.571993
35,user_322,1895,3.7015513342186237,0,3,14,99.00538501042632,2,2025-08-07 20:00:57.571993
36,user_154,2537,3.1788936801741414,1,4,13,35.94911512197552,7,2025-11-16 20:00:57.573500
37,user_866,1841,3.280392263184117,1,2,11,51.13423988609378,9,2025-11-06 20:00:57.573500
38,user_684,19,4.665440663986042,1,4,14,2.7616771873704704,2,2025-01-24 20:00:57.574506
39,user_799,2774,4.494101305252056,1,4,8,15.50416167277442,6,2025-02-01 20:00:57.574506
40,user_569,2352,2.5534398631853885,1,2,11,21.582102749684317,5,2025-08-31 20:00:57.575505
41,user_195,773,2.8325913763026334,0,3,14,69.95122107671938,8,2025-02-07 20:00:57.575505
42,user_655,268,2.946402762419437,1,3,14,25.08605273466612,5,2025-01-28 20:00:57.575505
43,user_790,1150,2.756891357123438,1,2,8,17.329432007084577,1,2025-04-17 20:00:57.578021
44,user_801,1119,3.882727120140548,1,2,8,95.48652806631941,7,2025-06-03 20:00:57.579021
45,user_446,580,4.202490855480478,1,4,10,24.773098950115745,3,2025-09-17 20:00:57.579021
46,user_696,1243,4.2219097140731146,1,3,9,49.16158751168324,7,2025-09-03 20:00:57.580786
47,user_288,1757,4.387317026714668,1,3,9,94.9145731591386,4,2025-02-25 20:00:57.581333
48,user_179,2809,3.0009068055973382,1,2,11,61.585116438991385,7,2025-03-29 20:00:57.581333
